Date,AQI,Rhumidity,Wind Speed
2018-01-10,2.4253,74.0417,11.5792
2018-01-09,2.562,75.0417,8.4875
2018-01-08,2.864,70.1667,4.1083
2018-01-07,2.2648,79.875,5.9375
2018-01-06,2.542,56.7917,3.9917
2018-01-05,2.258,61.7917,4.9292
2018-01-04,2.2349,58.5417,7.3125
2018-01-03,2.3675,66.4167,11.3
2018-01-02,2.5387,69.5833,5.6625
2018-01-01,2.4892,66,5.0625
2017-12-31,2.3207,58.2917,9.1958
2017-12-30,2.1415,67.2917,8.9333
2017-12-29,2.066,73.0417,8.7625
2017-12-28,2.2483,72.4583,9.95
2017-12-27,2.2081,75.0417,10.4125
2017-12-26,2.2396,74.125,12.2833
2017-12-25,2.4437,72.875,5.9375
2017-12-24,2.4067,76.2917,6.8625
2017-12-23,2.397,75.9583,6.1875
2017-12-22,2.3434,77,6.5625
2017-12-21,2.4375,65.5417,7.8792
2017-12-20,2.3135,76.125,4.6292
2017-12-19,2.1334,75.5833,4.8542
2017-12-18,2.5532,82.625,6.7417
2017-12-17,2.6418,79.4583,11.7083
2017-12-16,2.311,68.4583,8.9417
2017-12-15,2.5004,39.7917,10.0042
2017-12-14,2.1174,53.125,5.9833
2017-12-13,1.9239,52.625,5.6042
2017-12-12,2.6017,58.4167,6.8875
2017-12-11,2.4589,58.1667,11.7625
2017-12-10,2.7417,31.6667,6.3583
2017-12-09,2.4769,46.6667,7.1125
2017-12-08,2.32,23.5,8.25
2017-12-07,2.283,26.9583,8.325
2017-12-06,2.0813,30.625,11.8042
2017-12-05,2.5136,43.2083,7.425
2017-12-04,2.1759,51.4583,10.175
2017-12-03,2.3231,38.875,12.775
2017-12-02,2.5385,50.625,12.4917
2017-12-01,2.4181,73.4583,13.6417
2017-11-30,2.4124,67.4583,10.5542
2017-11-29,2.5187,37.5,10.5458
2017-11-28,2.3991,38.375,7.85
2017-11-27,2.7303,35.25,6.8667
2017-11-26,2.2637,44.0833,5.275
2017-11-25,2.4381,40.1667,6.3
2017-11-24,2.5936,64.2083,12.775
2017-11-23,2.4885,51.0833,14.2917
2017-11-22,2.7656,44.1667,4.8125
2017-11-21,2.0405,68.5417,16.5333
2017-11-20,2.35,65.2083,10.0708
2017-11-19,2.8552,81.6667,7.9083
2017-11-18,2.7255,77.7083,10.7458
2017-11-17,2.7892,42.4583,12.7083
2017-11-16,2.5001,53.4583,3.4708
2017-11-15,3.1005,84.7917,6.6292
2017-11-14,3.0318,86,6.1917
2017-11-13,2.4665,93.7917,15.8958
2017-11-12,2.5052,86.1667,10.4667
2017-11-11,2.3542,62.8333,3.4958
2017-11-10,2.6268,63.2083,6.9458
2017-11-09,2.9504,76.2083,5.1417
2017-11-08,3.0043,90.4167,6.3542
2017-11-07,2.3296,85.1667,7.8292
2017-11-06,2.2158,78.8333,4.7333
2017-11-05,2.1637,62.5417,4.4833
2017-11-04,2.1264,68.875,4.2625
2017-11-03,2.2974,76.8333,7.625
2017-11-02,2.2062,80.4583,3.9
2017-11-01,1.8385,77.9167,5.4083
2017-10-31,2.2421,81.625,8.0292
2017-10-30,2.0239,76.5833,7.2625
2017-10-29,2.5264,59.9583,5.2625
2017-10-28,2.08,52,11.5333
2017-10-27,2.1137,53.4583,9.2208
2017-10-26,1.9859,49.5833,13.5125
2017-10-25,2.5666,46.875,6.9625
2017-10-24,2.6765,71.7917,5.7957
2017-10-23,2.6188,45.7083,18.0833
2017-10-22,2.6648,34.5417,10.6917
2017-10-21,2.2592,32,8.0042
2017-10-20,2.3607,41.5,6.7375
2017-10-19,2.1974,56.2917,15.7708
2017-10-18,2.6691,74.625,13.25
2017-10-17,2.5301,54.875,13.3542
2017-10-16,2.2126,39.2083,15.7125
2017-10-15,1.9323,52.2917,8
2017-10-14,2.1539,35.5652,10.0208
2017-10-13,1.9006,35.2083,10.3375
2017-10-12,1.6331,54.3333,6.55
2017-10-11,1.8508,74.5417,13.6625
2017-10-10,2.0033,75.0833,10.2
2017-10-09,2.3836,79.2917,12.1333
2017-10-08,2.3337,55.625,13.5833
2017-10-07,2.4624,42.4583,5.3167
2017-10-06,2.3968,53.9167,4.3833
2017-10-05,2.0095,42.8333,9.2042
2017-10-04,2.2607,39.7083,5.5875
2017-10-03,2.3096,58.4583,10.3167
2017-10-02,2.2644,50,11.0375
2017-10-01,2.3552,54.625,10.225
2017-09-30,2.7041,74.5417,12.1708
2017-09-29,2.4082,57.6667,6.6125
2017-09-28,2.1741,56.9167,7.6583
2017-09-27,2.2209,42.125,7.8792
2017-09-26,2.0585,51.3333,24.3522
2017-09-25,2.0362,53.2083,16.7792
2017-09-24,2.1579,50.9167,9.3792
2017-09-23,1.8636,52.2083,6.2708
2017-09-22,1.7975,56.0833,8.2458
2017-09-21,1.9777,68.9583,5.225
2017-09-20,2.1142,81.4583,6.25
2017-09-19,2.397,85.6667,5.9667
2017-09-18,2.9603,60.4583,4.0208
2017-09-17,2.3188,51.1667,4.85
2017-09-16,2.0991,45.25,4.8667
2017-09-15,1.9593,53.3333,12.4583
2017-09-14,1.8921,62.625,7.7375
2017-09-13,2.1164,80.25,9.1708
2017-09-12,2.5408,82.8333,8.5125
2017-09-11,2.5998,87.4583,5.3292
2017-09-10,2.7058,59.0833,5.7417
2017-09-09,3.6477,29.2917,3.8208
2017-09-08,4.8816,39.0417,4.7
2017-09-07,4.1598,58.4583,9.5583
2017-09-06,4.0734,50.625,6.9792
2017-09-05,2.8687,34,6.9417
2017-09-04,2.4008,35.7917,7.2458
